Male,Female
Father,Mother
Brother,Sister
Nephew,Niece
Actor,Actress
Waiter,Waitress
Bachelor,Bachelorette
God,Goddess
Priest,Priestess
Husband,Wife
Lord,Lady
King,Queen
Prince,Princess
Monk,Nun
Boy,Girl
Uncle,Aunt
Wizard,Witch
Count,Countess
Baron,Baroness
Host,Hostess
Shepherd,Shepherdess
Steward,Stewardess
Groom,Bride
Hunter,Huntress
Enchanter,Enchantress
Duke,Duchess
Hero,Heroine
Milkman,Milkmaid
Man,Woman
Widower,Widow
Dad,Mom
Emperor,Empress
Landlord,Landlady
Chairman,Chairwoman
Congressman,Congresswoman
Policeman,Policewoman
Salesman,Saleswoman
Heir,Heiress
Kinsman,Kinswoman
Schoolboy,Schoolgirl
Grooomsman,Bridesmaid
Englishman,Englishwoman
Frenchman,Frenchwoman
Barman,Barmaid
Boyfriend,Girlfriend
Manservant,Maidservant
Sorcerer,Sorcereress
Godfather,Godmother
Patriarch,Matriarch
Stepfather,Stepmother
Stepbrother,Stepsister